Id,Functionality Name,Attribute 1 (Categroy),Attribute 2 (Demand Measurement Unit),Functionality Description,Functionality Experience,Remarks,
21,Steering wheel heating,Comfort,With or without,"Steering wheel heating is a function that installs heating elements in the steering wheel, allowing drivers to feel a warm steering wheel in cold seasons, thus improving driving comfort. This function usually appears in high-configuration models and is controlled by a heating button on the steering wheel to turn on or off. The heating elements are generally resistance wires, which are installed in the leather inner layer of the steering wheel and heated by power supply lines. The key heating areas are usually at the 3 o'clock and 9 o'clock positions of the steering wheel, which are the hand grip areas. This design simplifies technology and saves costs.",Winter driving comfort,,
22,Head-Up Display (HUD),Comfort,With or without,"A Head-Up Display (HUD) is an automotive heads-up display system that projects driving information such as speed and navigation onto the windshield in front of the driver, allowing the driver to view important driving information without looking down or turning their head. HUD utilizes optical reflection principles, forming images through an image generator, then magnifying and projecting them to the front of the driver through a series of optical means. This design aims to improve safety and convenience during driving.  HUDs come in various types, including C-HUD, W-HUD, and AR-HUD, which differ in implementation, display effects, and technical difficulty. For example, C-HUD projects information onto a separate, vertically mounted glass panel, while W-HUD projects information directly onto the windshield, and AR-HUD incorporates augmented reality technology to provide a more realistic driving experience.","Driving convenience, driving comfort, information visualization",,
23,Built-in driving recorder,Comfort,With or without,"A built-in dashcam is a dashcam installed inside a vehicle, usually integrated into the rearview mirror. Compared to external dashcams, its wiring is more concealed, and it looks neater. Dashcams are considered the ""black box"" of a car, recording images and sounds during driving. In case of an accident, they can provide evidence and protect the driver's rights. The main advantages of a built-in dashcam are its concealment and neatness, making the vehicle interior look cleaner and reducing potential safety hazards associated with external dashcams.","Neat wiring, driving record, safe and beautiful.",,
24,Wireless charging for mobile phones,Comfort,Have or have not,"Wireless phone charging in a car refers to integrating wireless charging technology inside a vehicle, allowing phones with wireless charging capabilities to be placed in a designated spot for charging without the need for a charging cable. This technology uses electromagnetic induction and other principles to achieve wireless power transmission.",Mobile phone charging convenience,,
25,Electric seat adjustment,Comfort,Type,"Electric seat adjustment refers to adjusting the seat's fore-aft position, vertical height, and backrest angle using motors built into the car, achieving optimal seating comfort. This method is more convenient, faster, and less strenuous than manual adjustment, and allows for stepless adjustment. Electric seats not only provide basic sliding and tilting adjustments but can also adjust the front vertical, rear vertical, headrest, and lumbar support positions. Some models even offer 30 adjustment functions, including memory and easy entry functions.  Electric seat operation is typically controlled via switches and position sensors located near the seat. These sensors are connected to the drive motors of the actuators, working together to achieve various seat adjustments.","Riding comfort, convenient seat adjustment","Driver's seat, passenger seat, rear seats",
26,Seat functions,Comfort,Type,"Front seat functions refer to the various adjustment and comfort features available in the front seats of a vehicle. These features include, but are not limited to, seat heating, seat ventilation, and seat massage. Seat heating uses electric heating wires inside the seat to heat the interior, improving the discomfort caused by cold seats in winter. The seat ventilation system allows cool air to circulate through holes in the seat cushion and backrest, reducing sweating in the hips and back, and providing a comfortable riding environment. The seat massage function is more common in luxury vehicles, and it uses pneumatic devices powered by an air pump in the engine compartment. A computer program inside the seat controls changes in air pressure to achieve a massage effect.","Comfort, breathability, reduced sweating, warm seats, relaxation","Heating, ventilation, massage, memory",
27,Seat memory,Comfort,With or without,"Electric seat memory, adjustable via control buttons, memorizes and automatically adjusts the seat position.  The memory electric seat has the mechanical adjustment functions of a regular electric seat, adapting to different driver's seating needs, while also adding seat position memory and recall functions.",,,
28,Rear seat fold-down ratio,Comfort,Type,"The rear seat fold-down ratio refers to the ability of the rear seat backrest to fold down proportionally. Compared to a complete fold-down, this offers greater flexibility. Specifically, common rear seat fold-down ratios include 1/3, 2/3, 1/2, and 100%.  A 1/3:2/3 fold-down is generally applicable to rear seats with three positions, allowing either two seats on one side or one seat on the other side to be folded down. A 1/2 fold-down generally appears in rear seats with two positions, allowing one of the two seats to be folded down. A 100% fold-down refers to folding down the entire rear backrest.","Spatial flexibility, storage space","40:20:40, 40:60, 50:50, 100%",
29,Heatable/Coolable Cup Holder,Comfort,Have or have not,"A heated/cooled cup holder is a device that can heat or cool cups placed inside.  The key feature of this type of cup holder is its aluminum surface, which distinguishes it from ordinary cup holders. Ordinary cup holders typically have plastic and rubber surfaces and primarily serve to hold cups in place.","Riding comfort, hot/cold drinks provided",,
30,Rear multimedia control,Comfort,With or without,"Rear multimedia control refers to the ability of rear passengers to control the vehicle's multimedia system, such as volume, channel, and track selection, via the rear LCD screen, touchpad, or multimedia buttons.  This is a convenience feature for rear passengers.","Entertainment, ease of control, and riding comfort",,
31,220V power outlet,Comfort,With or without,"A 220V power socket is a power conversion device, commonly known as a power inverter, that converts the DC12V direct current provided by a vehicle into the AC220V alternating current commonly used by household appliances. With this power socket, car owners can use some low-power appliances in the car, such as laptops, mobile phone chargers, and car refrigerators. However, it should be noted that the car's 220V power socket is not suitable for high-power appliances, as this may exceed its capacity. In addition, the car power supply also has an automatic protection function. When an overload or short circuit occurs, it can automatically shut down to protect the vehicle's electrical system. This design fully considers the complexity and uncertainty of the external use environment, effectively avoiding safety hazards caused by electrical problems.","Electricity accessibility, external electrical appliances",,
32,Multifunctional rearview mirror,Comfort,Type,"Located on the left and right exterior sides of the vehicle, the rearview mirrors are an important safety feature.  They come in manual and automatic adjustment types. Currently, most models on the market are equipped with electrically adjustable exterior rearview mirrors. In addition, there are features such as electric folding, mirror memory, mirror heating, automatic tilting during reverse, automatic folding upon locking, and automatic anti-glare.",,,
33,Car air purifier,Comfort,With or without,"In-vehicle air purifiers are devices specifically designed to purify the air inside vehicles, removing pollutants such as PM2.5, toxic and harmful gases (such as formaldehyde, benzene series, TVOC, etc.), odors, bacteria, and viruses.  They typically consist of a high-voltage generation circuit, a negative ion generator, a small fan, and an air filter.  The working principle involves using an internal fan to circulate the interior air, achieving air purification.","Filter toxic gases, improve air quality, and enhance riding comfort.",,
34,Car refrigerator,Comfort,With or without,"A car refrigerator is a refrigeration device that can be carried in a car, providing passengers with cold drinks, food, and other refrigerated needs while the vehicle is in motion.","Riding comfort, with hot/cold drinks and storage provided.",,
35,Camping mode,Comfort,With or without,"Camping mode is a vehicle function designed for overnight stays or extended parking in the car.  It provides continuous power support, even when the vehicle is turned off, for features such as air conditioning, lighting, and charging, ensuring a comfortable and convenient environment inside the vehicle during outdoor camping.",,,
36,Range,Dynamics,kilometer,"Driving range usually refers to the maximum distance a vehicle can continuously travel on a single full charge or refueling. WLTC (World Light Duty Test Cycle) combined range refers to the theoretical driving range of a hybrid vehicle under different operating conditions in the global light-duty vehicle test cycle. This testing method considers various driving conditions in urban and highway environments, thus more realistically reflecting the vehicle's actual driving range.","Driving distance, range anxiety",,
37,Maximum speed,Dynamics,km/h,"Top speed data is based on the manufacturer's officially announced top speed for the vehicle model, in kilometers per hour.","Speed, maximum speed",,
38,0-100 km/h acceleration time,Dynamics,second,"The 0-100km/h acceleration time is the fastest acceleration time from 0 to 100 kilometers per hour for this vehicle model, as officially provided by the manufacturer. The unit is seconds, and it is the most intuitive reflection of the car's power.","Push-in-seat feeling, sense of speed, acceleration feedback",,
39,Motor layout,Dynamics,Type,"Motor layout refers to the placement of the electric motor on the vehicle chassis. Common motor layout configurations include front-mounted, rear-mounted, and front + rear-mounted.","Handling, wheelspin, drifting ability","Pre-processing, post-processing, pre-processing + post-processing",
40,Suspension Type,Dynamics,Type,"Suspension connects the wheels and the body, buffering the vibrations transmitted from the wheels to the body to improve vehicle ride comfort.  Considered one of the ""three major components"" of a vehicle, it is broadly classified into independent suspension and non-independent suspension. Independent suspension includes MacPherson strut suspension, multi-link suspension, double wishbone suspension, double-wishbone suspension, coil spring suspension, and single-arm rear independent suspension. Non-independent suspension includes torsion beam suspension, solid axle suspension, multi-link non-independent suspension, coil spring non-independent suspension, and trailing arm semi-independent suspension.","Driving stability, ride comfort, and shock absorption.","MacPherson strut, multi-link, double wishbone",
41,Braking distance of 100 kilometers,Safety,rice,"A braking distance of 100 kilometers refers to the actual distance a car needs to travel from a speed of 100 kilometers per hour to a complete stop. This data is usually obtained through on-site testing by professional institutions and is used to measure a car's braking performance and safety. The smaller the value, the better the vehicle's braking performance, and the safer it can stop in an emergency.","Security, braking performance, emergency braking",,
42,Battery type,Safety,Type,"Battery type refers to the classification method based on the different constituent materials inside the battery. New energy batteries can be roughly divided into five categories: lead-acid batteries, nickel-cadmium and nickel-metal hydride batteries, lithium batteries, lithium iron phosphate batteries, and fuel cells.","Energy efficiency, range, battery life","Lithium batteries, nickel-metal hydride batteries, lead-acid batteries, nickel-cadmium batteries",
43,Spare tire specifications,Safety,Type,"Spare tire specifications refer to the size of a car's spare tire.  Generally, cars are equipped with spare tires, which are usually classified into full-size spare tires and non-full-size spare tires according to their size. A full-size spare tire is identical in size to the original tires, while a non-full-size spare tire is slightly smaller than the original tires. With the continuous development of technology, some car models no longer come equipped with spare tires; however, these models usually use run-flat tires or are equipped with tire repair tools to replace the function of a spare tire.","Tire blowout replacement, convenient maintenance, emergency use, safety, reliability","Full-size spare tire, non-full-size spare tire",
44,Airbag type,Safety,Type,"Airbag types refer to the different types of airbags installed in automobiles.  These airbags can be classified into various types based on their function, installation location, and control method.  By quantity: Airbags can be classified according to the number installed, including single, dual, quad, and multi-airbag systems.  Single airbags are usually installed in the driver's seat to protect the driver's chest and head in a collision. Dual airbags have one in the driver's and passenger's seats to protect front-seat occupants. Quad airbags, in addition to the two airbags in the driver and passenger seats, also have two airbags in the side doors, effectively buffering strong impacts from the front and sides. Multi-airbag systems are equipped in some high-end models, including 6 airbags and 18 curtain airbags, distributed in the front and rear seats, both sides of the front and rear doors, and the front and rear windshields and side windows, providing all-around protection for passengers. By protection object: Airbags can also be classified according to the object they protect, including frontal airbags, passenger airbags, side airbags, rear side airbags, side curtain airbags, and knee airbags. Frontal airbags are installed in the center of the steering wheel to protect the driver. Passenger airbags are installed in the panel in front of the passenger seat. Side airbags are installed on the outside of the seats to mitigate injuries from side impacts. Rear side airbags provide side protection for rear passengers. Side curtain airbags are distributed in the front and rear windshields and side windows, providing additional side and head protection for passengers. Knee airbags are located in the front driver's seat to reduce injury to the knees from the interior in a secondary collision. Special types of airbags:  These also include special types such as shock-absorbing airbags and airbag seatbelts. Shock-absorbing airbags are common in high-end sedans, SUVs, and large vehicles; also called air springs, they use internal air pressure to absorb and mitigate vibrations during vehicle operation. Airbag seatbelts have airbag devices in the shoulder and overall areas of traditional seatbelts, combining the characteristics of traditional seatbelts and airbags to provide collision safety protection for passengers. The configuration of these different types of airbags varies by vehicle model and manufacturer, but they are all intended to provide additional protection in a collision and reduce the risk of passenger injury.","Safety, crash protection","Front airbags, side airbags, side curtain airbags, front knee airbags, center airbag",
45,Tire pressure monitoring,Safety,Type,"Its function is to automatically monitor tire pressure in real time during vehicle operation and to provide alarms for tire leaks and low pressure to ensure driving safety. It can be divided into direct tire pressure monitoring and indirect tire pressure monitoring. Direct tire pressure monitoring devices use pressure sensors installed in each tire to directly measure tire pressure, and use wireless transmitters to send pressure information from inside the tire to the central receiver module, and then display the tire pressure data of each tire. When the tire pressure is too low or leaking, the system will automatically alarm. The working principle of indirect tire pressure monitoring is: when the tire pressure of a certain tire decreases, the weight of the vehicle will reduce the rolling radius of the wheel, causing its speed to be faster than other wheels. By comparing the speed difference between the tires, the purpose of monitoring tire pressure is achieved. Indirect tire pressure monitoring systems actually rely on calculating the rolling radius of the tires to monitor the pressure.","Safety, safety reminders, tire life, driving economy","Direct tire pressure monitoring (tire pressure display), indirect tire pressure monitoring",
46,Seat belt reminder,Safety,Type,"The unfastened seat belt reminder is a warning system inside a vehicle, designed to remind drivers and passengers to fasten their seat belts while driving to ensure driving safety. When the vehicle detects that the driver or passenger has not fastened their seat belt, a warning light will be displayed on the instrument panel, and will switch to an audible warning when the vehicle speed exceeds 20 km/h, lasting for two minutes. This reminder system is designed to improve the safety awareness of drivers and passengers, prompting them to always fasten their seat belts while driving. The unfastened seat belt reminder system usually performs a self-check when the vehicle starts, and issues a reminder when an unfastened seat belt is detected.","Security, Security Alert","Front row, whole car",
47,Child seat interface,Safety,With or without,"Child seat interfaces are devices used to secure child safety seats.  There are two main standards for child seat interfaces: ISOFIX and LATCH.  ISOFIX (International Standards Organization FIX) is a standard designed and implemented in Europe starting in 1990 to provide a fixed interface for child safety seats. It typically has two attachment points, is relatively easy to install, but is not compatible with LATCH interface child seats. LATCH (Lower Anchors and Tethers for Children) is a child seat interface required in all vehicle models in the United States since September 1, 2002. It uses three attachment points, is more secure, and is compatible with ISOFIX interface child seats.  There will be a hook symbol at the interface behind the headrest of the seat.",Children's Car Safety,,
48,ABS Anti-lock Braking System,Safety,With or without,"ABS, or Anti-lock Braking System, is a car safety system. This system prevents the wheels from locking up during emergency braking, maintaining vehicle stability and control, and avoiding dangerous situations such as skidding and rollovers.  The ABS system rapidly adjusts braking force, keeping the wheels rotating, allowing the driver better control of the vehicle's direction.","Controllability, safety, vehicle stability",,
49,Vehicle Stability Control,Safety,With or without,"Electronic Stability Program (ESP), also known as Vehicle Stability Control (VSC), is an active automotive safety system designed to improve vehicle handling and safety, especially to prevent loss of control when the vehicle reaches its dynamic limits.  ESP uses sensors to monitor the vehicle's status in real time, such as speed, steering angle, and braking force. An electronic control unit (ECU) then calculates and analyzes this information and sends adjustment commands to the wheels as needed. For example, during sharp turns or emergency acceleration, the system can reduce wheel slippage and lower engine power output to maintain vehicle stability.","Controllability, safety, and vehicle stability",,
50,Blind Spot Detection,Safety,With or without,"Blind spot detection uses cameras installed on the left and right side mirrors to display images of vehicles in the blind spot area on a screen. This technology reduces the visual blind spot of the rearview mirrors, helps expand the field of vision, and provides more practical safeguards for driving safety. Specifically, the functions of blind spot detection include: Reducing visual blind spots: By installing cameras on the rearview mirrors, images of vehicles in the blind spot area can be seen on the screen, thus reducing the visual blind spots of the rearview mirrors. Expanding the field of vision: This function is not limited to the right side but also includes the left side. Through technical means, the field of vision of the left and right rearview mirrors is increased from 20 degrees to 80 degrees, allowing for confirmation of a wider rear field of vision when preparing to change lanes. Improving driving safety: It provides more practical safeguards for the safety of everyone inside and outside the vehicle, significantly improving driving safety, especially when preparing to change lanes or needing to observe the traffic conditions on the side.","Safety, driving visibility, driving safety",,
51,Lane Departure Warning System,Safety,With or without,"Lane Departure Warning System (LDWS) is an automotive driving safety assistance system that can reduce traffic accidents caused by lane departures. When the sensing element detects that the vehicle is deviating from the lane, if the driver does not signal a lane change due to fatigue or negligence, the system will issue a warning signal, vibrate the steering wheel, or even actively apply force to pull the steering wheel back to remind the driver to return to the lane.",,,
52,Lane Keeping Assist,Safety,Type,"Lane keeping assist is a driver-assistance feature based on lane departure warning system (LDWS). It controls the vehicle's braking control coordination device to ensure the vehicle stays within its lane. Specifically, lane keeping assist uses cameras to identify lane markings, providing driver support. If the vehicle approaches the identified markings and risks leaving the lane, it will alert the driver through steering wheel vibrations or audible warnings.","Safety, safety alerts, accident prevention, driving experience, driving stability","Lane Departure Warning, Lane Keeping Assist",
53,Collision warning,Safety,Type,"The function warns the driver of sudden dangers during vehicle operation, such as sudden braking by the preceding vehicle or stationary obstacles. Collision warning generally consists of three modules: a distance measuring system, a control system, and a braking system. Sensors such as radar and cameras detect the distance and shape of obstacles in front of the vehicle and make judgments. If the distance between the vehicle and the obstacle approaches the set alarm distance, and the driver does not take control action, the collision warning system will issue an alarm.","Safety, safety reminders, accident prevention","Forward Collision Warning, Rear Collision Warning",
54,Active DMS Fatigue Detection,Safety,With or without,"Driver Monitoring System (DMS) uses advanced sensor technologies such as cameras to accurately capture the driver's real-time status. Once the system detects signs of driver fatigue, discomfort, or other conditions unsuitable for continued driving, it will react quickly by issuing a warning or taking safety measures, such as controlling the vehicle to decelerate until it stops.  The DMS system has powerful real-time monitoring capabilities, capable of accurately capturing subtle changes in the driver's head and facial expressions and movements. It can effectively identify driver fatigue and distraction, with warnings including but not limited to eye closure, head down, yawning, frequent looking around, smoking, and using a phone. In addition, some advanced systems also have driver identification capabilities, providing greater assurance for driving safety.","Safety, safety reminders, accident prevention, proactive safety",,
55,Low speed warning,Safety,With or without,"Low-speed vehicle warning is a safety measure for pure electric vehicles and plug-in hybrid electric vehicles. When the vehicle travels at a speed below 20 km/h, it will automatically issue a sound warning to remind pedestrians and cyclists of the vehicle's movement. This measure is implemented to compensate for the lower noise of electric vehicles at low speeds in pure electric mode, thus reducing traffic accidents.","Safety, safety alert, pedestrian alert",,
56,Roadside assistance call,Safety,With or without,"Roadside assistance calls are an emergency service that allows vehicles to quickly contact rescue services in the event of a breakdown or emergency via a specific button or system in the vehicle. This service typically includes towing, on-site repairs, tire changes, emergency medical assistance, and other services, aiming to help drivers and passengers involved in vehicle breakdowns or accidents get help quickly.","Security, Emergency Rescue",,
57,Anti-pinch car window function,Safety,With or without,"The anti-pinch function for car windows means that if the car window glass encounters resistance while rising, it will automatically stop rising or reverse to lower, thus preventing passengers, especially children, from being pinched. This function mainly monitors the motor speed and resistance by installing current sensors or Hall sensors. Once an abnormality is detected, the anti-pinch mechanism will be automatically triggered.",Security,,
58,Sentry Mode,Safety,With or without,"Sentry Mode refers to a feature where, when the vehicle is parked, the owner can view real-time video information from the cameras around the vehicle via their mobile phone. If the vehicle is bumped or moved, the external cameras will record the surrounding environment and notify the owner via a mobile app or SMS. The recording can also be viewed on the vehicle's infotainment system. In addition, the owner can control the vehicle to honk the horn, flash the lights, and make remote announcements via their mobile phone.","Parking safety, vehicle safety, threat detection, accident record",,
59,Pet Mode,Safety,Have or have not,"Pet mode is an automotive feature designed to cater to the needs of pets, typically used to maintain a suitable temperature and ventilation when pets are left alone in the vehicle. It also informs the outside world that the pet is safe via an in-car display, preventing misunderstandings or emergency alarms, to ensure the pet's comfort and safety inside the vehicle.",Pet-friendly,,
60,Battery fast charging time,Economy,Hours,"Battery fast charging time refers to the duration for which a battery can withstand high-power charging. The higher the charging power it can withstand, the shorter the charging time to replenish the same amount of energy. This greatly helps improve efficiency and enhances the user's driving experience.","Charging time, charging speed",,
61,Battery slow charging time,Economy,hour,Slow charging time for a battery refers to the time required to charge an electric vehicle battery using a slow charging pile.,"Charging time, charging speed",,
